scen;type;prev;prev_q025;prev_q975;nnv;nnv_q025;nnv_q975
scen_2;imd;240;160;380;81,000;52,000;120,000
scen_2;sequelae;100;70;160;190,000;120,000;280,000
scen_2;fatalities;29;20;46;670,000;420,000;980,000
scen_3;imd;14;-130;180;1,400,000;110,000;-
scen_3;sequelae;7;-52;72;2,700,000;270,000;-
scen_3;fatalities;3;-9;17;5,900,000;1,200,000;-
scen_4;imd;290;200;440;69,000;45,000;100,000
scen_4;sequelae;120;84;190;160,000;100,000;230,000
scen_4;fatalities;35;24;54;560,000;360,000;820,000
scen_5;imd;-330;-510;-86;-;-;-
scen_5;sequelae;-130;-200;-33;-;-;-
scen_5;fatalities;-24;-38;-3;-;-;-
