scen;sero;prevented_imd;q025_imd;q975_imd;prevented_sequelae;q025_sequelae;q975_sequelae;prevented_fatalities;q025_fatalities;q975_fatalities
scen_2;C;246,5;168,1;386,6;105,2;71,7;165,3;29,7;20,2;47,2
scen_2;AWY;-3,8;-6,4;-2,5;-1,5;-2,6;-1,0;-0,3;-0,6;-0,2
scen_2;Other/B;-3,0;-5,1;-1,6;-1,2;-2,0;-0,6;-0,3;-0,4;-0,1
scen_3;C;60,0;37,7;85,4;25,2;15,8;36,0;6,7;4,1;9,6
scen_3;AWY;692,1;599,8;805,6;280,2;243,0;326,1;60,2;52,4;70,0
scen_3;Other/B;-737,9;-922,3;-526,4;-298,4;-372,5;-213,1;-63,7;-79,0;-45,8
scen_4;C;295,0;202,0;452,0;126,0;86,2;193,5;35,8;24,4;55,5
scen_4;AWY;-4,7;-7,6;-3,1;-1,9;-3,1;-1,3;-0,4;-0,7;-0,3
scen_4;Other/B;-4,2;-6,9;-2,3;-1,7;-2,8;-0,9;-0,4;-0,6;-0,2
scen_5;C;79,3;46,7;116,0;33,7;19,8;49,3;9,3;5,5;13,7
scen_5;AWY;900,1;778,0;1020,9;365,5;316,0;414,3;80,1;70,2;90,6
scen_5;Other/B;-1309,5;-1532,9;-972,5;-529,5;-619,7;-393,7;-113,1;-131,4;-84,6
